Date,Open,High,Low,Close,Adj_Close,Volume
01-11-2019,1455,1461.800049,1441,1456.900024,1451.450073,6356579
04-11-2019,1465.900024,1471,1445.099976,1457.650024,1452.197266,6429329
05-11-2019,1463.099976,1468.949951,1441,1447.300049,1441.885986,5799318
06-11-2019,1442.699951,1446.449951,1428.5,1434.900024,1429.532349,6686289
07-11-2019,1435,1463,1432.199951,1458.599976,1453.143677,6438749
08-11-2019,1449,1459.650024,1441.300049,1445.5,1440.092651,5494844
11-11-2019,1439.099976,1444.25,1422.550049,1427.800049,1422.458984,5192423
13-11-2019,1430,1475.900024,1430,1472.300049,1466.79248,11532364
14-11-2019,1476,1481.599976,1455.800049,1462.75,1457.278198,6518339
15-11-2019,1465.650024,1486.800049,1463.150024,1470.849976,1465.347778,7173674
18-11-2019,1472.650024,1486,1455.400024,1459.199951,1453.741455,6435097
19-11-2019,1467,1514.900024,1465,1509.75,1504.102295,13795569
20-11-2019,1555.050049,1572.400024,1543.199951,1547.650024,1541.860596,19904164
21-11-2019,1545,1556,1528.550049,1537.599976,1531.848145,6810577
22-11-2019,1542.099976,1569.5,1537.599976,1546.5,1540.714844,10218978
25-11-2019,1551.150024,1564.800049,1551,1561.550049,1555.708618,6924313
26-11-2019,1568.099976,1576.349976,1556,1560.25,1554.413452,16152137
27-11-2019,1559.949951,1575.5,1556.099976,1569.849976,1563.977539,4408336
28-11-2019,1572.650024,1584.150024,1563.949951,1580.300049,1574.388428,6284885
29-11-2019,1581.949951,1581.949951,1547.849976,1551.150024,1545.347534,8484822
02-12-2019,1600,1614.449951,1577,1586.5,1580.565186,14275186
03-12-2019,1592.75,1594,1572.599976,1578.900024,1572.993652,5938786
04-12-2019,1573,1577.5,1533.75,1552.699951,1546.891602,9594828
05-12-2019,1574,1579.75,1544,1550.849976,1545.048584,9117022
06-12-2019,1553,1568,1541.099976,1554.900024,1549.083496,5982129
09-12-2019,1556.150024,1577.400024,1546.5,1572.599976,1566.717163,5779807
